purchase_order_id	title	amount
IF00327579	QHV 30-500-020	1.00000000
IF00327579	QRW 1453465028	4.00000000
IF00327579	QHV 30-705-014	5.00000000
I100004013	U PQ31 2A361 PQ	2.00000000
I100003564	XCP 532 0160 10	1.00000000
I100004120	BTI 15-1819	2.00000000
I100003739	9678377780	1.00000000
I100003844	9678377780	1.00000000
IF00328252	SED 431-1144A-AS-TB	1.00000000
IF00329488	QHV 30-975-007	4.00000000
IF00329488	QHV 30-705-046	10.00000000
IF00329488	QHV 30-924-006	1.00000000
IF00329636	QHV 30-924-052	1.00000000
IF00329636	QHV 30-924-052	2.00000000
IF00329636	QHV 30-924-052	1.00000000
IF00329636	QHV 30-975-007	6.00000000
IF00333675	5750.KC	1.00000000
IF00334053	QHV 30-108-001	1.00000000
IF00334053	QHV 30-900-010	1.00000000
IF00334053	QHV 30-905-001	2.00000000
IF00334053	QHV 30-905-002	2.00000000
IF00334114	QHV 30-108-001	2.00000000
IF00334114	QHV 30-108-001	2.00000000
IF00340737	QHV 30-816-006	2.00000000
IF00348900	QHV 30-995-018	100.00000000
IF00354746	TAG 916.295	2.00000000
IF00354746	TAG 916.295	13.00000000
IF00354746	QHV 30-975-031	3.00000000
IF00354746	QHV 30-975-031	1.00000000
IF00354746	UB 87-70904 050	8.00000000
IF00354752	TAG 916.295	5.00000000
IF00362949	QHV 30-515-007	2.00000000
IF00368358	QHV 30-800-004	4.00000000
IF00368358	QHV 30-810-026	4.00000000
IF00368358	QHV 30-800-002	2.00000000
IF00368358	QHV 30-800-001	3.00000000
IF00368358	QHV 30-810-026	5.00000000
IF00368358	QHV 30-810-026	1.00000000
IF00371840	HJE 102538116	2.00000000
IF00371840	QHV 30-700-046	6.00000000
IF00371840	QHV 30-800-017	1.00000000
IF00371840	QHV 30-800-017	4.00000000
IF00371840	QHV 30-205-004	3.00000000
IF00371840	HRW 3000 951 024	7.00000000
IF00371840	HRW 200370	4.00000000
IF00371840	HPW ZA 4306 HIS	2.00000000
IF00371840	HPW ZA 4302 HIS	1.00000000
IF00371840	QHV 30-936-003	1.00000000
IF00371840	QHV 30-936-003	1.00000000
IF00375795	QG 19192-1	3.00000000
